Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Donell Taylor,198.0,81.0,University of Alabama at Birmingham,1982.0,98.0,834.0,109.0,276.0,41.0,64.0,7.0,34.0,102.0,242.0,30.0,76.0,106.0,90.0,47.0,7.0,59.0,81.0,266.0
Donnell Harvey,203.0,99.0,University of Florida,1980.0,312.0,4942.0,650.0,1403.0,358.0,542.0,1.0,13.0,649.0,1390.0,389.0,829.0,1218.0,219.0,142.0,131.0,287.0,708.0,1659.0
Donnie Boyce,196.0,88.0,University of Colorado,1973.0,30.0,195.0,30.0,86.0,13.0,26.0,6.0,24.0,24.0,62.0,12.0,13.0,25.0,16.0,13.0,5.0,22.0,19.0,79.0
Donny Marshall,206.0,98.0,University of Connecticut,1973.0,119.0,919.0,87.0,271.0,77.0,113.0,42.0,125.0,45.0,146.0,39.0,82.0,121.0,36.0,37.0,5.0,45.0,107.0,293.0
Donta Smith,188.0,86.0,University of Minnesota,1920.0,61.0,560.0,59.0,140.0,39.0,60.0,8.0,26.0,51.0,114.0,22.0,44.0,66.0,48.0,31.0,5.0,29.0,70.0,165.0
Dontae' Jones,203.0,99.0,Mississippi State University,1975.0,15.0,91.0,19.0,57.0,0.0,0.0,6.0,23.0,13.0,34.0,3.0,6.0,9.0,5.0,2.0,3.0,11.0,12.0,44.0
Donte Greene,211.0,102.0,Syracuse University,1988.0,253.0,4259.0,585.0,1441.0,206.0,294.0,165.0,542.0,420.0,899.0,140.0,460.0,600.0,183.0,111.0,116.0,222.0,373.0,1541.0
Dontell Jefferson,196.0,88.0,University of Arkansas,1983.0,6.0,84.0,11.0,22.0,6.0,9.0,1.0,2.0,10.0,20.0,1.0,11.0,12.0,9.0,4.0,1.0,6.0,9.0,29.0
Dontonio Wingfield,203.0,116.0,University of Cincinnati,1974.0,114.0,1146.0,157.0,404.0,62.0,86.0,47.0,152.0,110.0,252.0,121.0,154.0,275.0,76.0,39.0,15.0,89.0,191.0,423.0
Donyell Marshall,206.0,98.0,University of Connecticut,1973.0,1137.0,30441.0,4943.0,11404.0,1922.0,2645.0,1117.0,3199.0,3826.0,8205.0,2269.0,5396.0,7665.0,1542.0,934.0,1076.0,1539.0,2608.0,12925.0
Dorell Wright,206.0,92.0,,1985.0,549.0,12280.0,1657.0,3908.0,666.0,826.0,617.0,1691.0,1040.0,2217.0,375.0,1718.0,2093.0,850.0,418.0,271.0,475.0,790.0,4597.0
Dorian Finney-Smith,203.0,99.0,University of Florida,1993.0,81.0,1642.0,124.0,333.0,46.0,61.0,56.0,191.0,68.0,142.0,55.0,166.0,221.0,67.0,52.0,25.0,45.0,125.0,350.0
Doron Lamb,193.0,95.0,University of Kentucky,1991.0,147.0,1849.0,183.0,486.0,69.0,104.0,64.0,164.0,119.0,322.0,24.0,117.0,141.0,107.0,37.0,1.0,79.0,158.0,499.0
Doug Christie,198.0,90.0,Pepperdine University,1970.0,934.0,28640.0,3518.0,8273.0,2159.0,2631.0,866.0,2440.0,2652.0,5833.0,869.0,2844.0,3713.0,3308.0,1705.0,429.0,1920.0,2298.0,10061.0
Doug Edwards,201.0,99.0,Florida State University,1971.0,85.0,838.0,71.0,188.0,61.0,86.0,0.0,6.0,71.0,182.0,61.0,92.0,153.0,60.0,17.0,27.0,57.0,90.0,203.0
Doug Lee,196.0,90.0,Purdue University,1964.0,73.0,415.0,61.0,148.0,28.0,40.0,18.0,58.0,43.0,90.0,17.0,25.0,42.0,32.0,17.0,5.0,20.0,64.0,168.0
Doug McDermott,203.0,102.0,Creighton University,1992.0,249.0,5198.0,778.0,1745.0,224.0,267.0,277.0,714.0,501.0,1031.0,83.0,513.0,596.0,181.0,44.0,17.0,146.0,314.0,2057.0
Doug Overton,190.0,86.0,La Salle University,1969.0,605.0,9027.0,1067.0,2602.0,436.0,539.0,124.0,405.0,943.0,2197.0,167.0,633.0,800.0,1271.0,241.0,22.0,582.0,726.0,2694.0
Doug Roth,211.0,115.0,University of Tennessee,1967.0,42.0,412.0,37.0,86.0,7.0,14.0,0.0,1.0,37.0,85.0,44.0,76.0,120.0,20.0,8.0,13.0,16.0,70.0,81.0
Doug Smith,188.0,86.0,University of Minnesota,1920.0,296.0,5833.0,1020.0,2399.0,313.0,405.0,3.0,36.0,1017.0,2363.0,394.0,840.0,1234.0,400.0,224.0,150.0,353.0,979.0,2356.0
Doug West,198.0,90.0,Villanova University,1967.0,676.0,16649.0,2631.0,5473.0,1178.0,1470.0,37.0,194.0,2594.0,5279.0,532.0,1138.0,1670.0,1292.0,459.0,189.0,823.0,1862.0,6477.0
